GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cardio_generator,com,Main,20,0,4,0,5,0,4,0,2,0
cardio_generator,com.cardio_generator.outputs,ConsoleOutputStrategy,28,0,0,0,3,0,2,0,2,0
cardio_generator,com.cardio_generator.outputs,WebSocketOutputStrategy,59,0,2,0,10,0,3,0,2,0
cardio_generator,com.cardio_generator.outputs,WebSocketOutputStrategy.SimpleWebSocketServer,26,0,0,0,11,0,6,0,6,0
cardio_generator,com.cardio_generator.outputs,FileOutputStrategy,101,0,0,0,17,0,3,0,3,0
cardio_generator,com.cardio_generator.outputs,TcpOutputStrategy,79,0,2,0,19,0,4,0,3,0
cardio_generator,com.cardio_generator.generators,BloodSaturationDataGenerator,72,0,2,0,17,0,4,0,3,0
cardio_generator,com.cardio_generator.generators,ECGDataGenerator,111,0,2,0,21,0,5,0,4,0
cardio_generator,com.cardio_generator.generators,BloodLevelsDataGenerator,129,0,2,0,22,0,4,0,3,0
cardio_generator,com.cardio_generator.generators,AlertGenerator,74,0,8,0,19,0,7,0,3,0
cardio_generator,com.cardio_generator.generators,BloodPressureDataGenerator,118,0,2,0,25,0,4,0,3,0
cardio_generator,com.data_management,Patient,3,58,2,4,1,13,3,4,1,3
cardio_generator,com.data_management,DataStorage,66,56,5,3,16,13,4,5,1,4
cardio_generator,com.data_management,PatientRecord,0,27,0,0,0,10,0,5,0,5
cardio_generator,com.data_management,FileDataReader,0,90,0,6,0,14,0,5,0,2
cardio_generator,com.alerts,Alert,6,15,0,0,2,6,2,2,2,2
cardio_generator,com.alerts,AlertGenerator.HypotensiveHypoxemiaChecker,0,87,2,14,0,17,2,8,0,2
cardio_generator,com.alerts,AlertGenerator.SaturationDropChecker,0,65,0,8,0,13,0,7,0,3
cardio_generator,com.alerts,AlertGenerator.SuccessiveChangeChecker,0,102,0,10,0,26,0,8,0,3
cardio_generator,com.alerts,AlertGenerator,0,275,1,27,0,42,1,19,0,4
cardio_generator,com.cardio_generator,HealthDataSimulator,340,0,24,0,83,0,26,0,13,0
